"song","Incredible bongo band","Apache",,"https://www.youtube.com/watch?v=oJ04kRodM8s"
"song","Indochine","3e sexe","queer","https://www.youtube.com/watch?v=SWtiCRntA-E"
"song","Israel Kamakawiwo'ole","Somewhere over the Rainbow","indigenous","https://www.youtube.com/watch?v=V1bFr2SWP1I"
"song","Jacqueline Danno","Il est cinq heures","revolution","https://www.youtube.com/watch?v=Y0GQN1O4N0A"
"song","James Brown","Say It Loud - I'm Black And I'm Proud","afroamerican,black","https://www.youtube.com/watch?v=lLbY9WBwpy0"
"song","Jax","Victoria's Secret","feminist","https://www.youtube.com/watch?v=GFKnuJB_WkM"
"song","Jean-Michel Jarre","Oxygene part 4","electro","https://www.youtube.com/watch?v=1XY3vnwQzy8"
"song","Jean-Michel Jarre","Zoolook","electro","https://www.youtube.com/watch?v=-F36bJ57TmM"
"song","Jefferson Airplane","White rabbit","1960s,acid-rock,psychedelic-rock","https://www.youtube.com/watch?v=TKZVUtvjBdM"
"song","Joe Hill","The preacher and the slave",,"https://www.youtube.com/watch?v=hruSHRsZ1JU"
"song","Johnny Cash","Hurt","depression","https://www.youtube.com/watch?v=8AHCfZTRGiI"
"song","Jorja Smith","By any means","black,sad","https://www.youtube.com/watch?v=Vq81getV30I"
"song","Jorja Smith","Beautiful Little Fools",,"https://www.youtube.com/watch?v=Ymm3A5lSGwo"
"song","Jorja Smith","Blue Lights ft. Dosseh","hiphop,police,sad","https://www.youtube.com/watch?v=qBJ47SStjkA"
"song","Jucee Froot","T.H.U.G.","black,hiphop,racism","https://www.youtube.com/watch?v=m0PFHQ0kJSs"
"song","Keane","Somewhere only we know","2000s,british,pop,rock,sad","https://www.youtube.com/watch?v=Oextk-If8HQ"
"song","K.I.Z.","Hurra die Welt geht unter","deutsch,hiphop","https://www.youtube.com/watch?v=XTPGpBBwt1w"
"song","Kali Uchis","After the Storm","relaxing","https://www.youtube.com/watch?v=9f5zD7ZSNpQ"
"song","Kali Uchis","i want war (BUT I NEED PEACE)","relaxing","https://www.youtube.com/watch?v=KGCMI22hu3k"
"song","Kansas","Dust in the wind","1970s,soft-rock,pop-rock","https://www.youtube.com/watch?v=tH2w6Oxx0kQ"
"song","Kate Bush","Running Up That Hill","1980s,art-pop,art-rock,synth-pop","https://www.youtube.com/watch?v=wp43OdtAAkM"
"song","Karlit & Kabok","J'ai pas d'sous",,"https://www.youtube.com/watch?v=_uJOFxviaTU"
"song","Karlit & Kabok","La Moustafette",,"https://www.youtube.com/watch?v=Is1yTAt8sf8"
"song","Katrina & the Waves","Walking on sunshine",,"https://www.youtube.com/watch?v=iPUmE-tne5U"
"song","Kery James feat. Orelsan","À qui la faute",,"https://www.youtube.com/watch?v=VsGkZEC2cVs"
"song","King Luan","No Vampires Remain in Romania","dance","https://www.youtube.com/watch?v=p1g3iZPna9Q"
"song","Kobito & Sookee","Augen Zu",,"https://www.youtube.com/watch?v=MI96cUORUFg"
"song","Kochise","Les chiens de garde",,"https://www.youtube.com/watch?v=_HsrTMl8xeY"
#"song","Korn","Daddy","traumatism","https://www.youtube.com/watch?v=me6krWVfN8I"
"song","Kreayshawn","Gucci Gucci",,"https://www.youtube.com/watch?v=6WJFjXtHcy4"
"song","L'oiseau mort","Dérives nocturnes","hiphop","https://www.youtube.com/watch?v=2ZqG0obrbR4"
"song","L'oiseau mort","Les silences","hiphop","https://www.youtube.com/watch?v=f0rIZzJ_-pU"
"song","La Fraction","La peur d'exister","rock","https://www.youtube.com/watch?v=PXqIaEJDolk"
"song","La Gale","5000 km","hiphop","https://lagale.bandcamp.com/track/5000-km"
"song","La Gale","Pétrodollars","hiphop","https://lagale.bandcamp.com/track/petrodollars"
"song","La Gale","Tes balafres","hiphop","https://lagale.bandcamp.com/track/tes-balafres-2"
"song","La Gale","Frontières","hiphop","https://lagale.bandcamp.com/track/fronti-res"
"song","La Rumeur","365 cicatrices","hiphop","https://www.youtube.com/watch?v=mpRFAMAiC0M"
"song","La Rumeur","À 20 000 lieux de la mer","hiphop","https://www.youtube.com/watch?v=leyDCrg9IDY"
"song","La Rumeur","À les écouter tous","hiphop","https://www.youtube.com/watch?v=bU7zu23mJsc"
"song","La Rumeur","Blessé dans mon ego","hiphop","https://www.youtube.com/watch?v=mxOEhEhcDGE"
"song","La Rumeur","Champs de canne à Paname","hiphop","https://www.youtube.com/watch?v=KfsLDVflhsk"
"song","La Rumeur","Du déclin au défi","hiphop","https://www.youtube.com/watch?v=4HWvj2bY-7M"
"song","La Rumeur","Je connais tes cauchemars","hiphop","https://www.youtube.com/watch?v=LUzu7tMiHTw"
"song","La Rumeur","L'ombre sur la mesure","hiphop","https://www.youtube.com/watch?v=Q0yxeOsdtp4"
"song","La Rumeur","Le silence de ma rue","hiphop","https://www.youtube.com/watch?v=ttQVKEi4DPg"
"song","La Rumeur","Les coulisses de l'angoisse","hiphop","https://www.youtube.com/watch?v=wGFUU2ytq_c"
"song","La Rumeur","Les perdants ont une voix","hiphop","https://www.youtube.com/watch?v=Fud7oWfgKXg"
"song","La Rumeur","Les petites annonces du carnage","hiphop","https://www.youtube.com/watch?v=ejW0wK_qO9s"
"song","La Rumeur","Pas de vacances","hiphop","https://www.youtube.com/watch?v=Hr2XlHkxvvs"
"song","La Rumeur","P.O.R.C","hiphop","https://www.youtube.com/watch?v=8s-LcOkQLoY"
"song","Lafayette afro-rock band","Hihache",,"https://www.youtube.com/watch?v=A3ckIovZRwk"
